review,rating
"I tried to connect it with my Jio Fibre(WiFi) but it was no showing both, 2.4 and 5Ghz even if i was sitting beside it. Rest all is Good but it was not showing my WiFi and thus, is a waste of money for me.",2
Does not work.. does not show the wifi signal at all while the same is seen with mobile. Tried several options of installation of driver from to link site but nothing helps. Finally got an answer from Amazon questions that it does not support all channels. Modified the router configuration to change the channel to 4 instead of auto and it seems to work for now,2
I bought it for configuring Soft AP mode with desktop PC with windows 10 to convert the LAN internet connection to WIFI. But that option is not available while configuring in Windows 10. it is greyed out,2
"The CD that came along would not detect the adaptor no matter what you did safe mode, anti virus disabled no goFinally got to work.Speed is optimum if the mobile is close to the adaptor to share internetHowever not as fast as the USB cable connection",2
Don’t buy this if you need a 5GHz band because this offers only 2.4Ghz. I had to order the Archer T3U which offers both and my first reaction is Wow! Getting max speed as per broadband plan in one corner of my house.,2
"I bought this hoping it would be an upgrade over my existing WiFi adapter, the speed and range is way below expectations. i have a 150 MBps internet connection and i manage to get maximum of only 8.96 MBps download and 800 KBps upload speeds with very inconsistent pings.Pros:works out of the box with Ubuntu 18.04 LTSCons:very bad download and upload speedsvery inconsistent pingssize is bigger than other faster WiFi Adapters.There are better ones out there for cheap. I've gone back to using my Digisol WiFi adapter which is Designed and manufactured in India.",2
"After two months of Intermittent struggles with drivers, incompatibility, usb not identified errors I finally had to ditch it. While it worked, it worked fine but then it kept not working too many times to make this Work From Home a hassle I didn’t need. Sorry TP-Link, I wanted to like this little device, but it simply didn’t work out.",2
"Keeps on disconnecting on it's own, but won't connect back. Big headache, especially when we are doing some important work. Please dont buy. Total nuisance.",2
"Good company..Had beautiful reviews so bought it..First 2 days I could see all networks even from my neighborhood and speed was really good...then it stopped showing my own connections and I started to get frustrated..never showed my connections again, even my new mobile hotspot a few inches away...  Returned for a refund...my 1st refund experience here was good.",2
When u plug into your pc your windows started crashing. You can't use this usb deviceBcz of new windows updates.. don't waste your money. Just use wifi extender or direct ethernet wire,2
"Not tht easy to use as my PC didn't have a CD drive...it would have been grt had the software been inside it, just like any plug and play device... WiFi signal recieved on my machine is very poor...0.5 Mbps on this device and 27 Mbps on my mobile at the same spot, on the same network!! My opinion is spend a little more if you need better speeds!!",2
"Seller service as well as Amazon service is very good. No issue related to product still rating is low because of following reasons,1. Windows 7/8/8.1 requires installation of driver to detect & work the device.2. After lots of efforts failed to make device working on Raspberry-pi and on Linux (CentOS 7/Ubuntu 14/15).I think it's tp-link firmware upgrade issue because I have same device model which I purchased earlier will not require any external driver to install on Windows/Linux platforms.  Also, difference in packaging of same product model. Earlier, it comes in small box compare to this box packaging.",2
Cheap quality product.. looses wifi connection very frequently and speed is very low.. it never goes beyond 4 Mbps... also makes whole network slow for unknown reason... stopped using because it creates more problems in network,2
"The wi-fi adpater does not require installation. It works out of the box.But there are two issues i am facing. Hence it is idle now.It might probably be a problem with the device given to me.1. the Wi-fi does not connect. It detects the network. But it does not connect.2. Before the first issue came up, the speeds kept on varying. Sometimes it will be too slow and sometimes it will be normal speed.",2
